id;eltamont;eltaval;extremite_amont;extremite_aval;lgmvtaval;vit_reg;geometry
T_58227242_FRef;R_82649257;S_82649337_T_58227242_FRef;846599.534818 6521981.563452;846565.838616 6522156.203560;177,868;13,89;LINESTRING (846599.534818 6521981.563452, 846565.838616 6522156.20356)
T_58227242_toRef;E_82649337_T_58227242_toRef;R_82649257;846559.942584 6522155.091440;846593.664582 6521980.322348;177,999;13,89;LINESTRING (846559.942584 6522155.09144, 846593.664582 6521980.322348)
T_58227265_FRef;R_82649056;R_82649135;845950.630487 6521958.236569;846068.253325 6522006.429881;137,748;8,33;LINESTRING (845950.630487 6521958.236569, 846068.253325 6522006.429881)
T_58227265_toRef;R_82649135;R_82649056;846063.516275 6522010.112319;845948.666513 6521963.906031;134,539;8,33;LINESTRING (846063.516275 6522010.112319, 845948.666513 6521963.906031)
T_58227278_FRef;R_82649078;R_82649154;846152.900506 6521960.173945;846194.230406 6522052.246345;100,923;8,33;LINESTRING (846152.900506 6521960.173945, 846194.230406 6522052.246345)
T_58227278_toRef;R_82649154;R_82649078;846188.756594 6522054.703455;846147.426694 6521962.631055;100,923;8,33;LINESTRING (846188.756594 6522054.703455, 846147.426694 6521962.631055)
T_58227279_FRef;R_82649078;R_82649135;846150.163600 6521961.402500;846065.884800 6522008.271100;96,434;13,89;LINESTRING (846150.1636 6521961.4025, 846065.8848 6522008.2711)
T_58227280_FRef;R_82649254;R_82649257;846554.749447 6521955.845198;846598.548347 6521976.886698;48,591;13,89;LINESTRING (846554.749447 6521955.845198, 846598.548347 6521976.886698)
T_58227280_toRef;R_82649257;R_82649254;846594.651053 6521984.999102;846550.852153 6521963.957602;48,591;13,89;LINESTRING (846594.651053 6521984.999102, 846550.852153 6521963.957602)
T_58227281_FRef;R_82649328;R_82649254;846443.949000 6522189.463700;846551.569485 6521967.562913;304,762;13,89;LINESTRING (846443.949 6522189.4637, 846551.569485 6521967.562913)
T_58227314_FRef;R_82649079;R_82649078;846184.120800 6521938.884500;846150.163600 6521961.402500;40,745;13,89;LINESTRING (846184.1208 6521938.8845, 846150.1636 6521961.4025)
T_58227345_FRef;C_82649246;R_82649328;846437.065286 6521928.537246;846446.946849 6522189.350119;261,0;13,89;LINESTRING (846437.065286 6521928.537246, 846446.946849 6522189.350119)
T_58227345_toRef;R_82649328;C_82649246;846440.951151 6522189.577281;846430.653124 6521917.772295;306,526;13,89;LINESTRING (846440.951151 6522189.577281, 846430.653124 6521917.772295)
T_58227359_FRef;R_82649077;R_82649079;846151.011215 6521917.647049;846185.543215 6521936.243149;39,221;13,89;LINESTRING (846151.011215 6521917.647049, 846185.543215 6521936.243149)
T_58227359_toRef;R_82649079;R_82649077;846182.698385 6521941.525851;846148.166385 6521922.929751;39,221;13,89;LINESTRING (846182.698385 6521941.525851, 846148.166385 6521922.929751)
T_58227380_FRef;R_82649259;C_82649338;846681.310787 6521905.061253;846649.753159 6521991.479516;114,726;13,89;LINESTRING (846681.310787 6521905.061253, 846649.753159 6521991.479516)
T_58227380_toRef;C_82649338;R_82649259;846643.088132 6521992.239396;846675.674813 6521903.003147;95,0;13,89;LINESTRING (846643.088132 6521992.239396, 846675.674813 6521903.003147)
T_58227383_FRef;R_82649085;R_82649156;846249.439165 6521900.329317;846252.353665 6522071.465517;171,161;13,89;LINESTRING (846249.439165 6521900.329317, 846252.353665 6522071.465517)
T_58227383_toRef;R_82649156;R_82649085;846246.354535 6522071.567683;846243.440035 6521900.431483;171,161;13,89;LINESTRING (846246.354535 6522071.567683, 846243.440035 6521900.431483)
